algorithm,structure,dataset,size,time
bubble,array,almost,20,2.5399960577487946e-05
bubble,linked,almost,20,2.3900007363408804e-05
selection,array,almost,20,2.4300010409206152e-05
selection,linked,almost,20,2.300000051036477e-05
insertion,array,almost,20,6.499991286545992e-06
insertion,linked,almost,20,4.199973773211241e-06
shell,array,almost,20,1.5900004655122757e-05
shell,linked,almost,20,1.360004534944892e-05
merge,array,almost,20,4.1700026486068964e-05
merge,linked,almost,20,3.809999907389283e-05
quick,array,almost,20,3.149994881823659e-05
quick,linked,almost,20,2.6300025638192892e-05
heap,array,almost,20,1.090002479031682e-05
heap,linked,almost,20,7.499998901039362e-06
counting,array,almost,20,1.3599987141788006e-05
counting,linked,almost,20,1.2599979527294636e-05
radix,array,almost,20,3.0800001695752144e-05
radix,linked,almost,20,2.5999965146183968e-05
bubble,array,half,20,3.0099996365606785e-05
bubble,linked,half,20,2.7999980375170708e-05
selection,array,half,20,2.6300025638192892e-05
selection,linked,half,20,2.3600005079060793e-05
insertion,array,half,20,1.1199968867003918e-05
insertion,linked,half,20,9.300012607127428e-06
shell,array,half,20,1.810002140700817e-05
shell,linked,half,20,1.5400000847876072e-05
merge,array,half,20,4.789995728060603e-05
merge,linked,half,20,4.250003257766366e-05
quick,array,half,20,3.060000017285347e-05
quick,linked,half,20,2.659996971487999e-05
heap,array,half,20,1.2499978765845299e-05
heap,linked,half,20,8.500006515532732e-06
counting,array,random,20,0.027170699962880462
counting,linked,random,20,0.028135299973655492
radix,array,half,20,8.659996092319489e-05
radix,linked,half,20,0.00010170001769438386
bubble,array,flat,20,4.090002039447427e-05
bubble,linked,flat,20,3.8300000596791506e-05
selection,array,flat,20,2.4800014216452837e-05
selection,linked,flat,20,2.340000355616212e-05
insertion,array,flat,20,1.92999723367393e-05
insertion,linked,flat,20,1.7300015315413475e-05
shell,array,flat,20,2.6900030206888914e-05
shell,linked,flat,20,2.0900042727589607e-05
merge,array,flat,20,5.1799986977130175e-05
merge,linked,flat,20,4.640000406652689e-05
heap,array,flat,20,1.3999990187585354e-05
heap,linked,flat,20,7.499998901039362e-06
quick,array,flat,20,3.5999983083456755e-05
quick,linked,flat,20,2.640002639964223e-05
counting,array,flat,20,1.1699972674250603e-05
counting,linked,flat,20,7.499998901039362e-06
radix,array,flat,20,8.430000161752105e-05
radix,linked,flat,20,3.260001540184021e-05
bubble,array,random,30,8.059997344389558e-05
bubble,linked,random,30,0.00011630001245066524
selection,array,random,30,5.1099981646984816e-05
selection,linked,random,30,0.00014750001719221473
insertion,array,random,30,3.539997851476073e-05
insertion,linked,random,30,3.260001540184021e-05
shell,array,random,30,3.63999861292541e-05
shell,linked,random,30,3.0399998649954796e-05
merge,array,random,30,0.00011869997251778841
merge,linked,random,30,8.969998452812433e-05
quick,array,random,30,5.909998435527086e-05
quick,linked,random,30,4.8600020818412304e-05
heap,array,random,30,3.5100034438073635e-05
heap,linked,random,30,2.3300002794712782e-05
radix,array,random,30,8.909997995942831e-05
radix,linked,random,30,0.00019539997447282076
bubble,array,sorted,30,5.660002352669835e-05
bubble,linked,sorted,30,5.0399976316839457e-05
selection,array,sorted,30,5.1499984692782164e-05
selection,linked,sorted,30,4.610000178217888e-05
insertion,array,sorted,30,8.300004992634058e-06
insertion,linked,sorted,30,6.299989763647318e-06
shell,array,sorted,30,1.9199971575289965e-05
shell,linked,sorted,30,1.750001683831215e-05
merge,array,sorted,30,0.00010550004662945867
merge,linked,sorted,30,5.400000372901559e-05
quick,array,sorted,30,4.6600005589425564e-05
quick,linked,sorted,30,4.020001506432891e-05
heap,array,sorted,30,1.7700018361210823e-05
heap,linked,sorted,30,1.4100049156695604e-05
counting,array,sorted,30,1.9600032828748226e-05
counting,linked,sorted,30,1.610000617802143e-05
radix,array,sorted,30,4.090002039447427e-05
radix,linked,sorted,30,3.91000066883862e-05
bubble,array,reverse,30,0.00010409997776150703
bubble,linked,reverse,30,0.00010140001541003585
selection,array,reverse,30,5.080003757029772e-05
selection,linked,reverse,30,4.88999648950994e-05
insertion,array,reverse,30,7.339997682720423e-05
insertion,linked,reverse,30,7.639999967068434e-05
shell,array,reverse,30,3.029999788850546e-05
shell,linked,reverse,30,3.0199997127056122e-05
merge,array,reverse,30,6.910000229254365e-05
merge,linked,reverse,30,6.250001024454832e-05
quick,array,reverse,30,0.0002741999924182892
quick,linked,reverse,30,3.379996633157134e-05
heap,array,reverse,30,3.090000245720148e-05
heap,linked,reverse,30,1.0300020221620798e-05
counting,array,reverse,30,1.969997538253665e-05
counting,linked,reverse,30,1.6300007700920105e-05
radix,array,reverse,30,4.109996370971203e-05
radix,linked,reverse,30,4.0700018871575594e-05
bubble,array,almost,30,5.909998435527086e-05
